# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
es,a la bartola,,,a la bartola,cultural_reference,Wiktionary,Wiktionary contributors,,,,lazily; like a slacker; slacking off,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_bartola,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la brava,,,a la brava,cultural_reference,Wiktionary,Wiktionary contributors,,,,hastily,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_brava,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la buena de Dios,,,a la buena de Dios,cultural_reference,Wiktionary,Wiktionary contributors,,,,casually; as God wills,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_buena_de_Dios,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la buena ventura,,,a la buena ventura,cultural_reference,Wiktionary,Wiktionary contributors,,,,down to luck,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_buena_ventura,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la chamberga,,,a la chamberga,cultural_reference,Wiktionary,Wiktionary contributors,,,,"carelessly, without care",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_chamberga,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la cuarta pregunta,,,a la cuarta pregunta,cultural_reference,Wiktionary,Wiktionary contributors,,,,down and out; stone-broke,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_cuarta_pregunta,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la expectativa,,,a la expectativa,cultural_reference,Wiktionary,Wiktionary contributors,,,,on tenterhooks,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_expectativa,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la fuerza,,,a la fuerza,cultural_reference,Wiktionary,Wiktionary contributors,,,,against one's will; forcibly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_fuerza,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la greña,,,a la greña,cultural_reference,Wiktionary,Wiktionary contributors,,,,at loggerheads,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_gre%C3%B1a,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a la larga,,,a la larga,cultural_reference,Wiktionary,Wiktionary contributors,,,,"in the long run, eventually, ultimately, in the long term",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_la_larga,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
